detector,track_index,series_mid_frame,frame_time_utc,x,y,image_width,image_height,origin,ai_label,ai_score,dual_channel_with,dual_channel_pa_diff_deg,vetoed,auto_selected
C2,1,C2_20251027_0524_c2_1024.jpg,2025-10-27T07:00:00Z,994,422,1024,1024,upper_left,,,,,False,True
C2,1,C2_20251027_0524_c2_1024.jpg,2025-10-27T07:12:00Z,995,423,1024,1024,upper_left,,,,,False,True
C2,1,C2_20251027_0524_c2_1024.jpg,2025-10-27T07:24:00Z,995,424,1024,1024,upper_left,,,,,False,True
C2,2,C2_20251027_0524_c2_1024.jpg,2025-10-27T02:36:00Z,862,863,1024,1024,upper_left,,,,,False,True
C2,2,C2_20251027_0524_c2_1024.jpg,2025-10-27T02:48:00Z,865,863,1024,1024,upper_left,,,,,False,True
C2,2,C2_20251027_0524_c2_1024.jpg,2025-10-27T03:00:00Z,867,863,1024,1024,upper_left,,,,,False,True
C2,2,C2_20251027_0524_c2_1024.jpg,2025-10-27T03:12:00Z,870,863,1024,1024,upper_left,,,,,False,True
C2,3,C2_20251027_0524_c2_1024.jpg,2025-10-27T05:12:00Z,345,889,1024,1024,upper_left,,,,,False,False
C2,3,C2_20251027_0524_c2_1024.jpg,2025-10-27T05:24:00Z,343,889,1024,1024,upper_left,,,,,False,False
C2,3,C2_20251027_0524_c2_1024.jpg,2025-10-27T05:48:00Z,342,889,1024,1024,upper_left,,,,,False,False
C2,4,C2_20251027_0524_c2_1024.jpg,2025-10-27T03:24:00Z,314,474,1024,1024,upper_left,,,,,False,False
C2,4,C2_20251027_0524_c2_1024.jpg,2025-10-27T03:36:00Z,312,473,1024,1024,upper_left,,,,,False,False
C2,4,C2_20251027_0524_c2_1024.jpg,2025-10-27T03:48:00Z,312,472,1024,1024,upper_left,,,,,False,False
C2,5,C2_20251027_0524_c2_1024.jpg,2025-10-27T03:00:00Z,99,236,1024,1024,upper_left,,,,,False,False
C2,5,C2_20251027_0524_c2_1024.jpg,2025-10-27T03:12:00Z,98,236,1024,1024,upper_left,,,,,False,False
C2,5,C2_20251027_0524_c2_1024.jpg,2025-10-27T03:24:00Z,96,238,1024,1024,upper_left,,,,,False,False
C2,5,C2_20251027_0524_c2_1024.jpg,2025-10-27T03:36:00Z,96,238,1024,1024,upper_left,,,,,False,False
C2,6,C2_20251027_0524_c2_1024.jpg,2025-10-27T05:12:00Z,186,180,1024,1024,upper_left,,,,,False,False
C2,6,C2_20251027_0524_c2_1024.jpg,2025-10-27T05:24:00Z,169,194,1024,1024,upper_left,,,,,False,False
C2,6,C2_20251027_0524_c2_1024.jpg,2025-10-27T05:48:00Z,169,194,1024,1024,upper_left,,,,,False,False
C2,7,C2_20251027_0524_c2_1024.jpg,2025-10-27T07:12:00Z,359,954,1024,1024,upper_left,,,,,False,False
C2,7,C2_20251027_0524_c2_1024.jpg,2025-10-27T07:24:00Z,342,966,1024,1024,upper_left,,,,,False,False
C2,7,C2_20251027_0524_c2_1024.jpg,2025-10-27T07:36:00Z,342,966,1024,1024,upper_left,,,,,False,False
C2,8,C2_20251027_0524_c2_1024.jpg,2025-10-27T06:36:00Z,930,658,1024,1024,upper_left,,,C3#4,24.3,False,True
C2,8,C2_20251027_0524_c2_1024.jpg,2025-10-27T06:48:00Z,946,665,1024,1024,upper_left,,,C3#4,24.3,False,True
C2,8,C2_20251027_0524_c2_1024.jpg,2025-10-27T07:00:00Z,946,665,1024,1024,upper_left,,,C3#4,24.3,False,True
C3,1,C3_20251027_0530_c3_1024.jpg,2025-10-27T08:30:00Z,862,807,1024,1024,upper_left,,,,,False,True
C3,1,C3_20251027_0530_c3_1024.jpg,2025-10-27T08:42:00Z,863,807,1024,1024,upper_left,,,,,False,True
C3,1,C3_20251027_0530_c3_1024.jpg,2025-10-27T08:54:00Z,864,807,1024,1024,upper_left,,,,,False,True
C3,2,C3_20251027_0530_c3_1024.jpg,2025-10-27T04:54:00Z,342,44,1024,1024,upper_left,,,,,False,False
C3,2,C3_20251027_0530_c3_1024.jpg,2025-10-27T05:06:00Z,342,42,1024,1024,upper_left,,,,,False,False
C3,2,C3_20251027_0530_c3_1024.jpg,2025-10-27T05:18:00Z,342,41,1024,1024,upper_left,,,,,False,False
C3,3,C3_20251027_0530_c3_1024.jpg,2025-10-27T08:18:00Z,724,853,1024,1024,upper_left,,,,,False,False
C3,3,C3_20251027_0530_c3_1024.jpg,2025-10-27T08:30:00Z,726,850,1024,1024,upper_left,,,,,False,False
C3,3,C3_20251027_0530_c3_1024.jpg,2025-10-27T08:42:00Z,727,848,1024,1024,upper_left,,,,,False,False
C3,4,C3_20251027_0530_c3_1024.jpg,2025-10-27T05:54:00Z,728,624,1024,1024,upper_left,,,C2#8,24.3,False,True
C3,4,C3_20251027_0530_c3_1024.jpg,2025-10-27T06:30:00Z,729,624,1024,1024,upper_left,,,C2#8,24.3,False,True
C3,4,C3_20251027_0530_c3_1024.jpg,2025-10-27T06:42:00Z,730,624,1024,1024,upper_left,,,C2#8,24.3,False,True
C3,5,C3_20251027_0530_c3_1024.jpg,2025-10-27T05:30:00Z,603,816,1024,1024,upper_left,,,,,False,False
C3,5,C3_20251027_0530_c3_1024.jpg,2025-10-27T05:54:00Z,604,816,1024,1024,upper_left,,,,,False,False
C3,5,C3_20251027_0530_c3_1024.jpg,2025-10-27T06:30:00Z,604,816,1024,1024,upper_left,,,,,False,False
C3,6,C3_20251027_0530_c3_1024.jpg,2025-10-27T05:54:00Z,890,576,1024,1024,upper_left,,,C2#8,24.3,False,True
C3,6,C3_20251027_0530_c3_1024.jpg,2025-10-27T06:30:00Z,891,576,1024,1024,upper_left,,,C2#8,24.3,False,True
C3,6,C3_20251027_0530_c3_1024.jpg,2025-10-27T06:42:00Z,892,576,1024,1024,upper_left,,,C2#8,24.3,False,True
C3,7,C3_20251027_0530_c3_1024.jpg,2025-10-27T05:30:00Z,496,14,1024,1024,upper_left,,,,,False,False
C3,7,C3_20251027_0530_c3_1024.jpg,2025-10-27T05:54:00Z,496,14,1024,1024,upper_left,,,,,False,False
C3,7,C3_20251027_0530_c3_1024.jpg,2025-10-27T06:30:00Z,497,14,1024,1024,upper_left,,,,,False,False
C3,8,C3_20251027_0530_c3_1024.jpg,2025-10-27T04:06:00Z,945,740,1024,1024,upper_left,,,,,False,False
C3,8,C3_20251027_0530_c3_1024.jpg,2025-10-27T04:18:00Z,946,742,1024,1024,upper_left,,,,,False,False
C3,8,C3_20251027_0530_c3_1024.jpg,2025-10-27T04:30:00Z,946,743,1024,1024,upper_left,,,,,False,False
