detector,track_index,series_mid_frame,frame_time_utc,x,y,image_width,image_height,origin,ai_label,ai_score,dual_channel_with,dual_channel_pa_diff_deg,vetoed,auto_selected,original_mid_path,annotated_mid_path
C2,1,C2_20251027_0924_c2_1024.jpg,2025-10-27T07:00:00Z,994,422,1024,1024,upper_left,,,,,False,True,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,1,C2_20251027_0924_c2_1024.jpg,2025-10-27T07:12:00Z,995,423,1024,1024,upper_left,,,,,False,True,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,1,C2_20251027_0924_c2_1024.jpg,2025-10-27T07:24:00Z,995,424,1024,1024,upper_left,,,,,False,True,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,2,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:24:00Z,368,221,1024,1024,upper_left,,,,,False,True,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,2,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:36:00Z,374,232,1024,1024,upper_left,,,,,False,True,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,2,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:48:00Z,374,245,1024,1024,upper_left,,,,,False,True,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,3,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:24:00Z,331,172,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,3,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:36:00Z,317,177,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,3,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:48:00Z,310,182,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,4,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:48:00Z,275,97,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,4,C2_20251027_0924_c2_1024.jpg,2025-10-27T10:36:00Z,289,116,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,4,C2_20251027_0924_c2_1024.jpg,2025-10-27T11:00:00Z,298,124,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,4,C2_20251027_0924_c2_1024.jpg,2025-10-27T11:12:00Z,310,138,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,4,C2_20251027_0924_c2_1024.jpg,2025-10-27T11:24:00Z,318,144,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,4,C2_20251027_0924_c2_1024.jpg,2025-10-27T11:36:00Z,330,144,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,5,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:12:00Z,297,185,1024,1024,upper_left,,,C3#7,17.8,False,True,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,5,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:24:00Z,276,194,1024,1024,upper_left,,,C3#7,17.8,False,True,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,5,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:36:00Z,276,201,1024,1024,upper_left,,,C3#7,17.8,False,True,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,6,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:24:00Z,364,286,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
C2,6,C2_20251027_0924_c2_1024.jpg,2025-10-27T09:36:00Z,379,295,1024,1024,upper_left,,,,,False,False,detections/originals/C2_C2_20251027_0924_c2_1024.jpg,detections/annotated/C2_C2_20251027_0924_c2_1024.jpg_annot_track.png
